client_id,name,sector
0,SwiftCargo Logistics,Logistics & Freight
1,BlueOcean Shipping Co.,Maritime Transport
2,GlobalTrade Imports,International Trade
3,Evergreen Retail Solutions,Retail & E-Commerce
4,TechNova Electronics,Technology & Electronics
5,Summit Industrial Supplies,Manufacturing & Industrial
6,NextGen Auto Parts,Automotive & Spare Parts
7,PrimeTextiles Inc.,Textile & Apparel
8,FreshHarvest Farms,Agriculture & Food Supply
9,GreenPlanet Recycling,Environmental & Waste Management
10,RapidWare Distributors,Wholesale & Distribution
11,FutureBuild Construction,Construction & Infrastructure
12,EliteHome Furnishings,Furniture & Home Goods
13,CloudCommerce Logistics,E-Commerce & Online Retail
14,Sunshine Pharmaceuticals,Healthcare & Medical Supplies
15,EcoFoods Organic,Food & Beverage
16,MegaMart Superstores,Retail & Supermarkets
17,Titan Heavy Machinery,Heavy Equipment & Manufacturing
18,QuickFix Auto Services,Automotive Repair & Services
19,Global Events Logistics,Event Management & Logistics
